x,y1,y2
11.0700000000,59.4948423895,0.0000000000
11.0800000000,59.4859421999,0.0000000000
11.0900000000,59.4769746521,0.0000000000
11.1000000000,59.4679399991,0.0000000000
11.1100000000,59.4588384933,0.0000000000
11.1200000000,59.4496703863,0.0000000000
11.1300000000,59.4404359289,0.0000000000
11.1400000000,59.4311353713,0.0000000000
11.1500000000,59.4217689629,0.0000000000
11.1600000000,59.4123369523,0.0000000000
11.1700000000,59.4028395874,0.0000000000
11.1800000000,59.3932771155,0.0000000000
11.1900000000,59.3836497830,0.0000000000
11.2000000000,59.3739578355,0.0000000000
11.2100000000,59.3642015182,0.0000000000
11.2200000000,59.3543810753,0.0000000000
11.2300000000,59.3444967505,0.0000000000
11.2400000000,59.3345487865,0.0000000000
11.2500000000,59.3245374255,0.0000000000
11.2600000000,59.3144629091,0.0000000000
11.2700000000,59.3043254780,0.0000000000
11.2800000000,59.2941253721,0.0000000000
11.2900000000,59.2838628310,0.0000000000
11.3000000000,59.2735380932,0.0000000000
11.3100000000,59.2631513967,0.0000000000
11.3200000000,59.2527029789,0.0000000000
11.3300000000,59.2421930763,0.0000000000
11.3400000000,59.2316219248,0.0000000000
11.3500000000,59.2209897597,0.0000000000
11.3600000000,59.2102968156,0.0000000000
11.3700000000,59.1995433264,0.0000000000
11.3800000000,59.1887295252,0.0000000000
11.3900000000,59.1778556446,0.0000000000
11.4000000000,59.1669219166,0.0000000000
11.4100000000,59.1559285724,0.0000000000
11.4200000000,59.1448758424,0.0000000000
11.4300000000,59.1337639567,0.0000000000
11.4400000000,59.1225931445,0.0000000000
11.4500000000,59.1113636344,0.0000000000
11.4600000000,59.1000756543,0.0000000000
11.4700000000,59.0887294316,0.0000000000
11.4800000000,59.0773251929,0.0000000000
11.4900000000,59.0658631643,0.0000000000
11.5000000000,59.0543435711,0.0000000000
11.5100000000,59.0427666381,0.0000000000
11.5200000000,59.0311325893,0.0000000000
11.5300000000,59.0194416484,0.0000000000
11.5400000000,59.0076940381,0.0000000000
11.5500000000,58.9958899807,0.0000000000
11.5600000000,58.9840296978,0.0000000000
11.5700000000,58.9721134103,0.0000000000
11.5800000000,58.9601413386,0.0000000000
11.5900000000,58.9481137026,0.0000000000
11.6000000000,58.9360307212,0.0000000000
11.6100000000,58.9238926131,0.0000000000
11.6200000000,58.9116995961,0.0000000000
11.6300000000,58.8994518875,0.0000000000
11.6400000000,58.8871497042,0.0000000000
11.6500000000,58.8747932620,0.0000000000
11.6600000000,58.8623827767,0.0000000000
11.6700000000,58.8499184630,0.0000000000
11.6800000000,58.8374005352,0.0000000000
11.6900000000,58.8248292072,0.0000000000
11.7000000000,58.8122046919,0.0000000000
11.7100000000,58.7995272020,0.0000000000
11.7200000000,58.7867969494,0.0000000000
11.7300000000,58.7740141454,0.0000000000
11.7400000000,58.7611790008,0.0000000000
11.7500000000,58.7482917259,0.0000000000
11.7600000000,58.7353525303,0.0000000000
11.7700000000,58.7223616229,0.0000000000
11.7800000000,58.7093192124,0.0000000000
11.7900000000,58.6962255065,0.0000000000
11.8000000000,58.6830807127,0.0000000000
11.8100000000,58.6698850377,0.0000000000
11.8200000000,58.6566386876,0.0000000000
11.8300000000,58.6433418683,0.0000000000
11.8400000000,58.6299947846,0.0000000000
11.8500000000,58.6165976411,0.0000000000
11.8600000000,58.6031506419,0.0000000000
11.8700000000,58.5896539903,0.0000000000
11.8800000000,58.5761078892,0.0000000000
11.8900000000,58.5625125409,0.0000000000
11.9000000000,58.5488681471,0.0000000000
11.9100000000,58.5351749090,0.0000000000
11.9200000000,58.5214330274,0.0000000000
11.9300000000,58.5076427023,0.0000000000
11.9400000000,58.4938041333,0.0000000000
11.9500000000,58.4799175196,0.0000000000
11.9600000000,58.4659830594,0.0000000000
11.9700000000,58.4520009510,0.0000000000
11.9800000000,58.4379713916,0.0000000000
11.9900000000,58.4238945783,0.0000000000
12.0000000000,58.4097707073,0.0000000000
12.0100000000,58.3955999746,0.0000000000
12.0200000000,58.3813825754,0.0000000000
12.0300000000,58.3671187045,0.0000000000
12.0400000000,58.3528085564,0.0000000000
12.0500000000,58.3384523246,0.0000000000
12.0600000000,58.3240502024,0.0000000000
12.0700000000,58.3096023826,0.0000000000
12.0800000000,58.2951090574,0.0000000000
12.0900000000,58.2805704184,0.0000000000
12.1000000000,58.2659866569,0.0000000000
12.1100000000,58.2513579635,0.0000000000
12.1200000000,58.2366845284,0.0000000000
12.1300000000,58.2219665413,0.0000000000
12.1400000000,58.2072041912,0.0000000000
12.1500000000,58.1923976670,0.0000000000
12.1600000000,58.1775471566,0.0000000000
12.1700000000,58.1626528478,0.0000000000
12.1800000000,58.1477149278,0.0000000000
12.1900000000,58.1327335831,0.0000000000
12.2000000000,58.1177090000,0.0000000000
12.2100000000,58.1026413641,0.0000000000
12.2200000000,58.0875308606,0.0000000000
12.2300000000,58.0723776742,0.0000000000
12.2400000000,58.0571819891,0.0000000000
12.2500000000,58.0419439890,0.0000000000
12.2600000000,58.0266638572,0.0000000000
12.2700000000,58.0113417764,0.0000000000
12.2800000000,57.9959779288,0.0000000000
12.2900000000,57.9805724963,0.0000000000
12.3000000000,57.9651256602,0.0000000000
12.3100000000,57.9496376013,0.0000000000
12.3200000000,57.9341084999,0.0000000000
12.3300000000,57.9185385360,0.0000000000
12.3400000000,57.9029278889,0.0000000000
12.3500000000,57.8872767376,0.0000000000
12.3600000000,57.8715852606,0.0000000000
12.3700000000,57.8558536359,0.0000000000
12.3800000000,57.8400820410,0.0000000000
12.3900000000,57.8242706529,0.0000000000
12.4000000000,57.8084196484,0.0000000000
12.4100000000,57.7925292035,0.0000000000
12.4200000000,57.7765994939,0.0000000000
12.4300000000,57.7606306949,0.0000000000
12.4400000000,57.7446229813,0.0000000000
12.4500000000,57.7285765272,0.0000000000
12.4600000000,57.7124915067,0.0000000000
12.4700000000,57.6963680931,0.0000000000
12.4800000000,57.6802064593,0.0000000000
12.4900000000,57.6640067780,0.0000000000
12.5000000000,57.6477692210,0.0000000000
12.5100000000,57.6314939601,0.0000000000
12.5200000000,57.6151811664,0.0000000000
12.5300000000,57.5988310106,0.0000000000
12.5400000000,57.5824436630,0.0000000000
12.5500000000,57.5660192934,0.0000000000
12.5600000000,57.5495580712,0.0000000000
12.5700000000,57.5330601654,0.0000000000
12.5800000000,57.5165257444,0.0000000000
12.5900000000,57.4999549764,0.0000000000
12.6000000000,57.4833480290,0.0000000000
12.6100000000,57.4667050693,0.0000000000
12.6200000000,57.4500262642,0.0000000000
12.6300000000,57.4333117800,0.0000000000
12.6400000000,57.4165617826,0.0000000000
12.6500000000,57.3997764375,0.0000000000
12.6600000000,57.3829559098,0.0000000000
12.6700000000,57.3661003640,0.0000000000
12.6800000000,57.3492099643,0.0000000000
12.6900000000,57.3322848746,0.0000000000
12.7000000000,57.3153252582,0.0000000000
12.7100000000,57.2983312780,0.0000000000
12.7200000000,57.2813030966,0.0000000000
12.7300000000,57.2642408759,0.0000000000
12.7400000000,57.2471447778,0.0000000000
12.7500000000,57.2300149634,0.0000000000
12.7600000000,57.2128515936,0.0000000000
12.7700000000,57.1956548288,0.0000000000
12.7800000000,57.1784248290,0.0000000000
12.7900000000,57.1611617538,0.0000000000
12.8000000000,57.1438657625,0.0000000000
12.8100000000,57.1265370137,0.0000000000
12.8200000000,57.1091756659,0.0000000000
12.8300000000,57.0917818770,0.0000000000
12.8400000000,57.0743558046,0.0000000000
12.8500000000,57.0568976058,0.0000000000
12.8600000000,57.0394074373,0.0000000000
12.8700000000,57.0218854556,0.0000000000
12.8800000000,57.0043318165,0.0000000000
12.8900000000,56.9867466757,0.0000000000
12.9000000000,56.9691301881,0.0000000000
12.9100000000,56.9514825086,0.0000000000
12.9200000000,56.9338037915,0.0000000000
12.9300000000,56.9160941908,0.0000000000
12.9400000000,56.8983538600,0.0000000000
12.9500000000,56.8805829523,0.0000000000
12.9600000000,56.8627816203,0.0000000000
12.9700000000,56.8449500166,0.0000000000
12.9800000000,56.8270882931,0.0000000000
12.9900000000,56.8091966013,0.0000000000
13.0000000000,56.7912750926,0.0000000000
13.0100000000,56.7733239175,0.0000000000
13.0200000000,56.7553432268,0.0000000000
13.0300000000,56.7373331702,0.0000000000
13.0400000000,56.7192938976,0.0000000000
13.0500000000,56.7012255581,0.0000000000
13.0600000000,56.6831283007,0.0000000000
13.0700000000,56.6650022739,0.0000000000
13.0800000000,56.6468476257,0.0000000000
13.0900000000,56.6286645040,0.0000000000
13.1000000000,56.6104530561,0.0000000000
13.1100000000,56.5922134290,0.0000000000
13.1200000000,56.5739457693,0.0000000000
13.1300000000,56.5556502232,0.0000000000
13.1400000000,56.5373269366,0.0000000000
13.1500000000,56.5189760550,0.0000000000
13.1600000000,56.5005977235,0.0000000000
13.1700000000,56.4821920868,0.0000000000
13.1800000000,56.4637592893,0.0000000000
13.1900000000,56.4452994750,0.0000000000
13.2000000000,56.4268127875,0.0000000000
13.2100000000,56.4082993702,0.0000000000
13.2200000000,56.3897593658,0.0000000000
13.2300000000,56.3711929169,0.0000000000
13.2400000000,56.3526001657,0.0000000000
13.2500000000,56.3339812539,0.0000000000
13.2600000000,56.3153363230,0.0000000000
13.2700000000,56.2966655141,0.0000000000
13.2800000000,56.2779689679,0.0000000000
13.2900000000,56.2592468246,0.0000000000
13.3000000000,56.2404992244,0.0000000000
13.3100000000,56.2217263068,0.0000000000
13.3200000000,56.2029282111,0.0000000000
13.3300000000,56.1841050762,0.0000000000
13.3400000000,56.1652570406,0.0000000000
13.3500000000,56.1463842426,0.0000000000
13.3600000000,56.1274868199,0.0000000000
13.3700000000,56.1085649102,0.0000000000
13.3800000000,56.0896186504,0.0000000000
13.3900000000,56.0706481775,0.0000000000
13.4000000000,56.0516536277,0.0000000000
13.4100000000,56.0326351373,0.0000000000
13.4200000000,56.0135928419,0.0000000000
13.4300000000,55.9945268769,0.0000000000
13.4400000000,55.9754373773,0.0000000000
13.4500000000,55.9563244778,0.0000000000
13.4600000000,55.9371883128,0.0000000000
13.4700000000,55.9180290163,0.0000000000
13.4800000000,55.8988467218,0.0000000000
13.4900000000,55.8796415628,0.0000000000
13.5000000000,55.8604136720,0.0000000000
13.5100000000,55.8411631823,0.0000000000
13.5200000000,55.8218902258,0.0000000000
13.5300000000,55.8025949344,0.0000000000
13.5400000000,55.7832774398,0.0000000000
13.5500000000,55.7639378733,0.0000000000
13.5600000000,55.7445763656,0.0000000000
